xe_id,chuyen_id,vong_id,time,addresss,lat,lon,note
Xe 9m3 15C28567,Chuyến 2,Vòng 1,18h30,"20 Nguyễn Đức Cảnh, Cát Dài",20.8558065207,106.6806456684,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,18h50,"20-30  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8537796383,106.6829430761,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,18h55,"138  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8532006455,106.6792799972,4
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h00,"160-180  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8530296978,106.6782750107,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h05,"236-240  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8526499026,106.6757599837,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h10,"Ngõ Đặng Kim Nở, Cát Dài",20.8546275409,106.6745762841,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h15,"278-282 Hai Bà Trưng, An Biên, Ngô Quyền ",20.8522997979,106.6744515499,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h20,"125 Nguyễn Đức Cảnh, Cát Dài",20.8542459249,106.6719838540,1
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h40,"119 Nguyễn Đức Cảnh, Cát Dài",20.8544304743,106.6730236972,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h45,"66 Nguyễn Đức Cảnh, Cát Dài",20.8534659579,106.6685048498,1
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h00,"20-30 Hai Bà Trưng, An Biên, Ngô Quyền ",20.8539435789,106.6829352684,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h05,"96  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8548051478,106.6814521107,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h10,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8533410101,106.6792585396,4
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h15,"170 Hai Bà Trưng, An Biên, Ngô Quyền ",20.8530250500,106.6781862549,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h20,"186  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8529312283,106.6774023684,1
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h25,"66 Nguyễn Đức Cảnh, Cát Dài",20.8536429013,106.6684942684,1
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h30,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8532608018,106.6792799972,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h50-21h00,"170  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8530551281,106.6781862549,1
Xe 9m3 15C28567,Chuyến 2,Vòng 1,22h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 15C28568,Chuyến 1,Vòng 1,15h30,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 15C28568,Chuyến 1,Vòng 1,16h20-18h00,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8468166634,106.6839728972,25
Xe 15C28568,Chuyến 1,Vòng 1,,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 15C28568,Chuyến 2,Vòng 1,19h15,"289A Lâm Tường, Hồ Nam",20.8499712536,106.6744702684,6
Xe 15C28568,Chuyến 2,Vòng 1,20h00,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8468166634,106.6839728972,9
Xe 15C28568,Chuyến 2,Vòng 1,20h30,192 Hàng Kênh,20.8478369562,106.6855344549,5
Xe 15C28568,Chuyến 2,Vòng 1,20h50,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,2
Xe 15C28568,Chuyến 2,Vòng 1,21h30,Quán Mau,20.8425785767,106.6911471371,1
Xe 15C28568,Chuyến 2,Vòng 1,22h30,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 12m3 : 15C34672,Chuyến 1,Vòng 1,17h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 12m3 : 15C34672,Chuyến 1,Vòng 1,17h45,"125, 119 Nguyễn Đức Cảnh, Cát Dài (Bãi xe TT)",20.8543802948,106.6730451387,7
Xe 12m3 : 15C34672,Chuyến 1,Vòng 1,18h05,"53 Lạch Tray, Đằng Giang, Ngô Quyền, Hải Phòng, Việt Nam",20.8498674800,106.6925620819,22
Xe 12m3 : 15C34672,Chuyến 1,Vòng 1,20h00,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,7
Xe 12m3 : 15C34672,Chuyến 1,Vòng 1,20h10-20h35,"289A Lâm Tường, Hồ Nam",20.8499712536,106.6744702684,14
Xe 12m3 : 15C34672,,Vòng 1,,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h00,"12 Chợ Con, Trại Cau",20.8503618582,106.6841321531,5
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h15,"97  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8532856581,106.6800150684,2
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h30,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8531705674,106.6792799972,9
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h40,"231 Tô Hiệu, Trại Cau",20.8506444790,106.6777296414,3
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h50,"12 Chợ Con, Trại Cau",20.8503518319,106.6841428819,3
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h55,Kainan,20.8450960312,106.6857828174,3
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,23h00,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,7
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,23h10,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466070925,106.6839761525,15
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,23h30,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,6
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,23h40,"159 Tô Hiệu, Trại Cau",20.8511037923,106.6813452655,4
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,23h50,"100  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8534893932,106.6809681703,2
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,24h00,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8531705674,106.6792799972,8
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,1h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 12m3 15C34761,Chuyến 2,Vòng 1,17h15,"8 Hồ Sen, Trại Cau, Lê Chân",20.8497448315,106.6807422933,7
Xe 12m3 15C34761,Chuyến 2,Vòng 1,17h25-17h45,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,
Xe 12m3 15C34761,Chuyến 2,Vòng 1,17h50,"8 Hồ Sen, Trại Cau, Lê Chân",20.8497448315,106.6807422933,20
Xe 12m3 15C34761,Chuyến 2,Vòng 1,20h15-20h30,Cầu Quán Nải,20.8418313441,106.6778825196,7
Xe 12m3 15C34761,Chuyến 2,Vòng 1,21h00-21h30,"8 Hồ Sen, Trại Cau, Lê Chân",20.8497448315,106.6807422933,10
Xe 12m3 15C34761,Chuyến 2,Vòng 1,22h30,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
